Foxcatcher	7.0	137
Joy	5.0	68
Joy	7.0	268
Philomena	8.0	109
Philomena	9.0	309
Sully	6.0	317
Sully	8.0	117
Jackie	10.0	31
12 Years a Slave	9.0	235
12 Years a Slave	7.0	435
12 Years a Slave	9.0	35
The Birth of a Nation	5.0	133
Black Mass	6.33333333333	125
The 33	7.0	43
The 33	6.0	443
Captain Phillips	8.7619047619	3
Captain Phillips	9.0	1203
13 Minutes	8.0	-698
The Theory of Everything	7.5	270
The Theory of Everything	7.83333333333	70
The Theory of Everything	8.0	670
Jersey Boys	5.0	149
Selma	10.0	130
The Big Short	8.0	375
Rush	8.0	54
The Imitation Game	8.0	63
The Imitation Game	9.0	863
Lion	9.33333333333	106
Pride	7.0	136
Nise: The Heart of Madness	8.0	-45
Unbroken	9.0	168
Jobs	7.5	24
Jobs	8.0	224
The Program	7.0	-40
Mr. Turner	9.0	1
Truth	9.0	81
Truth	7.0	681
Dallas Buyers Club	8.66666666667	205
Dallas Buyers Club	9.0	-6
Dallas Buyers Club	7.0	405
Dallas Buyers Club	9.0	805
Dallas Buyers Club	9.0	605
Lovelace	6.0	377
Rosewater	7.0	176
Steve Jobs	5.0	415
Fruitvale Station	10.0	708
Queen of the Desert	9.0	-406
The Danish Girl	7.0	184
The Railway Man	9.0	64
I Am Michael	6.0	53
Philomena	8.0	110
Sully	8.33333333333	118
Jackie	6.0	232
Jackie	7.0	32
12 Years a Slave	10.0	36
12 Years a Slave	9.0	436
12 Years a Slave	7.0	236
Big Eyes	6.0	61
Desert Dancer	10.0	-104
Black Mass	7.0	126
The 33	7.0	244
Behind the Candelabra	5.0	937
Behind the Candelabra	7.0	137
Captain Phillips	8.77777777778	4
Captain Phillips	9.0	204
Captain Phillips	10.0	-5
Blue Caprice	6.0	-351
The Theory of Everything	8.66666666667	71
The Theory of Everything	9.0	-72
The Theory of Everything	8.0	871
The Theory of Everything	9.0	671
Rush	8.0	455
Rush	7.0	255
Rush	6.0	855
Rush	9.0	55
The Imitation Game	7.5	64
The Imitation Game	8.5	264
Million Dollar Arm	6.0	179
Million Dollar Arm	7.0	579
The Founder	8.5	73
Hidden Figures	8.0	146
Pride	2.0	137
Jobs	7.25	25
Concussion	7.0	379
Concussion	7.0	179
The Look of Love	8.0	290
The Look of Love	6.0	90
Mr. Turner	9.0	202
Mr. Turner	9.0	2
Truth	7.0	82
Dallas Buyers Club	9.5	-7
Dallas Buyers Club	8.5	206
Dallas Buyers Club	6.5	406
Lovelace	6.0	1378
Marina	8.0	193
The Bling Ring	6.0	228
Steve Jobs	5.0	16
Steve Jobs	7.0	216
Florence Foster Jenkins	7.0	196
Fruitvale Station	8.0	909
Denial	7.0	148
Cantinflas	7.66666666667	18
Hacksaw Ridge	8.0	170
The Danish Girl	4.0	185
Anthropoid	8.0	319
Kill Your Darlings	1.0	448
Foxcatcher	6.5	139
Foxcatcher	8.0	339
Joy	6.0	70
Philomena	7.0	111
Sully	7.25	119
Saving Mr. Banks	10.0	190
12 Years a Slave	8.5	37
12 Years a Slave	8.0	237
12 Years a Slave	9.0	1237
Big Eyes	9.33333333333	62
The Birth of a Nation	8.5	135
Black Mass	6.625	127
Black Mass	5.0	727
Behind the Candelabra	6.0	138
Genius	6.0	85
Captain Phillips	8.21428571429	5
Captain Phillips	5.0	1405
The Theory of Everything	8.0	672
The Theory of Everything	8.125	72
Belle	8.0	-41
Selma	8.0	132
The Big Short	10.0	377
The Big Short	10.0	177
Rush	8.66666666667	456
Rush	6.0	1056
Rush	8.0	256
Rush	9.0	656
The Imitation Game	8.36363636364	65
The Imitation Game	8.0	465
The Imitation Game	8.0	265
Lion	9.0	108
The Founder	10.0	74
Hidden Figures	7.0	147
Pride	9.0	538
Unbroken	8.66666666667	170
Jobs	6.88888888889	26
Concussion	7.0	380
Mr. Turner	7.0	3
Truth	9.0	83
Dallas Buyers Club	9.0	7
Dallas Buyers Club	7.0	407
Dallas Buyers Club	7.0	207
Dallas Buyers Club	6.0	-8
The Bling Ring	6.0	229
The Bling Ring	6.0	429
Steve Jobs	7.0	417
Hacksaw Ridge	9.0	171
The Danish Girl	8.0	386
Anthropoid	7.0	320
Kill Your Darlings	8.0	1249
Sully	7.0	120
Sully	10.0	320
Saving Mr. Banks	8.0	191
Saving Mr. Banks	7.0	591
12 Years a Slave	8.0	38
12 Years a Slave	6.5	238
Snowden	8.0	185
Black Mass	6.5	128
The 33	7.0	46
Behind the Candelabra	3.0	139
The Devil's Violinist	10.0	-426
Captain Phillips	8.4	6
Captain Phillips	8.0	206
Captain Phillips	10.0	606
13 Minutes	9.0	-701
The Theory of Everything	8.26666666667	73
Belle	4.0	841
Selma	7.0	333
The Big Short	9.0	178
Rush	9.0	457
Rush	8.0	57
Rush	9.0	257
The Invisible Woman	1.0	3
Diana	7.0	0
The Imitation Game	8.83333333333	66
Lion	9.25	109
Million Dollar Arm	7.0	581
The Founder	7.0	75
Pride	5.0	139
Unbroken	10.0	171
Unbroken	9.0	571
Jobs	10.0	227
Jobs	5.85714285714	27
Jobs	7.0	427
Mr. Turner	8.0	4
Truth	8.0	284
Dallas Buyers Club	7.5	8
Dallas Buyers Club	9.0	208
Dallas Buyers Club	8.0	608
Dallas Buyers Club	9.0	1008
The Zookeeper's Wife	8.66666666667	41
The Bling Ring	7.0	30
Steve Jobs	7.0	418
Florence Foster Jenkins	6.5	198
Fruitvale Station	10.0	311
Woman in Gold	8.0	378
Hacksaw Ridge	5.0	172
Legend	6.0	128
Anthropoid	10.0	321
Foxcatcher	9.0	141
Trumbo	8.0	187
Philomena	9.0	713
Sully	6.75	121
Jackie	10.0	35
Saving Mr. Banks	8.0	392
Saving Mr. Banks	4.0	1192
12 Years a Slave	10.0	439
12 Years a Slave	8.5	39
12 Years a Slave	8.33333333333	239
Big Eyes	7.0	64
Black Mass	7.0	129
The 33	9.0	47
A United Kingdom	9.0	-66
Behind the Candelabra	8.0	940
The Fifth Estate	9.0	118
Captain Phillips	8.79166666667	7
Captain Phillips	10.0	807
The Theory of Everything	10.0	274
The Theory of Everything	8.18518518519	74
Jersey Boys	8.0	553
Selma	8.0	934
Selma	8.0	134
The Big Short	8.0	379
The Big Short	8.0	179
Rush	8.0	58
Rush	7.0	458
Rush	8.0	658
The Invisible Woman	6.0	-5
Diana	3.25	1
Diana	10.0	-2
Diana	6.0	201
The Imitation Game	9.0	267
The Imitation Game	7.83333333333	67
The Imitation Game	8.0	667
The Imitation Game	10.0	467
The Founder	7.0	76
Hidden Figures	8.0	149
Unbroken	8.0	572
Jobs	8.75	28
Jobs	6.0	428
Mr. Turner	6.0	205
Dallas Buyers Club	10.0	409
Dallas Buyers Club	8.0	209
The Bling Ring	10.0	31
The Danish Girl	6.0	188
Legend	7.0	129
One Chance	5.0	1101
Trumbo	7.5	188
Philomena	8.0	114
Philomena	8.5	314
Sully	8.0	122
12 Years a Slave	8.0	240
12 Years a Slave	10.0	1040
12 Years a Slave	8.0	40
Big Eyes	7.5	65
Snowden	8.0	187
