Foxcatcher	1	7.0	137
Joy	1	5.0	68
Joy	1	7.0	268
Philomena	3	8.0	109
Philomena	1	9.0	309
Sully	1	6.0	317
Sully	2	8.0	117
Jackie	1	10.0	31
12 Years a Slave	1	9.0	235
12 Years a Slave	1	7.0	435
12 Years a Slave	1	9.0	35
The Birth of a Nation	1	5.0	133
Black Mass	3	6.33333333333	125
The 33	1	7.0	43
The 33	1	6.0	443
Captain Phillips	21	8.7619047619	3
Captain Phillips	1	9.0	1203
13 Minutes	1	8.0	-698
The Theory of Everything	2	7.5	270
The Theory of Everything	6	7.83333333333	70
The Theory of Everything	1	8.0	670
Jersey Boys	1	5.0	149
Selma	1	10.0	130
The Big Short	1	8.0	375
Rush	1	8.0	54
The Imitation Game	6	8.0	63
The Imitation Game	1	9.0	863
Lion	3	9.33333333333	106
Pride	1	7.0	136
Nise: The Heart of Madness	1	8.0	-45
Unbroken	2	9.0	168
Jobs	2	7.5	24
Jobs	1	8.0	224
The Program	1	7.0	-40
Mr. Turner	2	9.0	1
Truth	1	9.0	81
Truth	1	7.0	681
Dallas Buyers Club	3	8.66666666667	205
Dallas Buyers Club	2	9.0	-6
Dallas Buyers Club	2	7.0	405
Dallas Buyers Club	1	9.0	805
Dallas Buyers Club	1	9.0	605
Lovelace	1	6.0	377
Rosewater	1	7.0	176
Steve Jobs	1	5.0	415
Fruitvale Station	1	10.0	708
Queen of the Desert	1	9.0	-406
The Danish Girl	1	7.0	184
The Railway Man	1	9.0	64
I Am Michael	1	6.0	53
Philomena	1	8.0	110
Sully	3	8.33333333333	118
Jackie	1	6.0	232
Jackie	1	7.0	32
12 Years a Slave	2	10.0	36
12 Years a Slave	1	9.0	436
12 Years a Slave	1	7.0	236
Big Eyes	1	6.0	61
Desert Dancer	1	10.0	-104
Black Mass	6	7.0	126
The 33	1	7.0	244
Behind the Candelabra	1	5.0	937
Behind the Candelabra	1	7.0	137
Captain Phillips	9	8.77777777778	4
Captain Phillips	4	9.0	204
Captain Phillips	1	10.0	-5
Blue Caprice	1	6.0	-351
The Theory of Everything	9	8.66666666667	71
The Theory of Everything	1	9.0	-72
The Theory of Everything	1	8.0	871
The Theory of Everything	1	9.0	671
Rush	1	8.0	455
Rush	1	7.0	255
Rush	1	6.0	855
Rush	1	9.0	55
The Imitation Game	2	7.5	64
The Imitation Game	2	8.5	264
Million Dollar Arm	1	6.0	179
Million Dollar Arm	1	7.0	579
The Founder	2	8.5	73
Hidden Figures	1	8.0	146
Pride	1	2.0	137
Jobs	4	7.25	25
Concussion	1	7.0	379
Concussion	1	7.0	179
The Look of Love	1	8.0	290
The Look of Love	1	6.0	90
Mr. Turner	1	9.0	202
Mr. Turner	1	9.0	2
Truth	1	7.0	82
Dallas Buyers Club	2	9.5	-7
Dallas Buyers Club	2	8.5	206
Dallas Buyers Club	2	6.5	406
Lovelace	1	6.0	1378
Marina	1	8.0	193
The Bling Ring	1	6.0	228
Steve Jobs	1	5.0	16
Steve Jobs	1	7.0	216
Florence Foster Jenkins	3	7.0	196
Fruitvale Station	1	8.0	909
Denial	1	7.0	148
Cantinflas	3	7.66666666667	18
Hacksaw Ridge	1	8.0	170
The Danish Girl	2	4.0	185
Anthropoid	1	8.0	319
Kill Your Darlings	1	1.0	448
Foxcatcher	2	6.5	139
Foxcatcher	1	8.0	339
Joy	1	6.0	70
Philomena	1	7.0	111
Sully	4	7.25	119
Saving Mr. Banks	1	10.0	190
12 Years a Slave	2	8.5	37
12 Years a Slave	1	8.0	237
12 Years a Slave	1	9.0	1237
Big Eyes	3	9.33333333333	62
The Birth of a Nation	2	8.5	135
Black Mass	8	6.625	127
Black Mass	1	5.0	727
Behind the Candelabra	2	6.0	138
Genius	1	6.0	85
Captain Phillips	14	8.21428571429	5
Captain Phillips	1	5.0	1405
The Theory of Everything	1	8.0	672
The Theory of Everything	8	8.125	72
Belle	1	8.0	-41
Selma	1	8.0	132
The Big Short	1	10.0	377
The Big Short	1	10.0	177
Rush	3	8.66666666667	456
Rush	1	6.0	1056
Rush	1	8.0	256
Rush	1	9.0	656
The Imitation Game	11	8.36363636364	65
The Imitation Game	1	8.0	465
The Imitation Game	1	8.0	265
Lion	1	9.0	108
The Founder	1	10.0	74
Hidden Figures	2	7.0	147
Pride	1	9.0	538
Unbroken	3	8.66666666667	170
Jobs	9	6.88888888889	26
Concussion	1	7.0	380
Mr. Turner	2	7.0	3
Truth	1	9.0	83
Dallas Buyers Club	2	9.0	7
Dallas Buyers Club	1	7.0	407
Dallas Buyers Club	1	7.0	207
Dallas Buyers Club	1	6.0	-8
The Bling Ring	1	6.0	229
